disp_um,F_uniform_uN,F_ccs_uN
0.000000000000000000e+00,-1.306735590791081147e+00,-1.195563090957137975e+00
8.026755852842848427e-03,-1.264677071350448045e+00,-1.141958822800830831e+00
1.605351170568569685e-02,-1.181246563293512963e+00,-1.035659968932911568e+00
2.408026755852832324e-02,-1.099185219494394516e+00,-9.311750863391452526e-01
3.210702341137117166e-02,-1.018485255257481015e+00,-8.284934025147734360e-01
4.013377926421402009e-02,-9.391389062092372342e-01,-7.276041746684356326e-01
4.816053511705686851e-02,-8.611384285987782050e-01,-6.284966902477933104e-01
5.618729096989971694e-02,-7.844760995975477158e-01,-5.311602674661202173e-01
6.421404682274256537e-02,-7.091442175977462625e-01,-4.355842558294895639e-01
7.224080267558519175e-02,-6.351351025092810687e-01,-3.417580366649559664e-01
8.026755852842804018e-02,-5.624410960549468541e-01,-2.496710236484460665e-01
8.829431438127088860e-02,-4.910545620633044450e-01,-1.593126633320949281e-01
9.632107023411373703e-02,-4.209678867587456352e-01,-7.067243567087899692e-02
1.043478260869565855e-01,-3.521734790486235056e-01,1.626014545240650477e-02
1.123745819397992118e-01,-2.846637708070431927e-01,1.014955317043302330e-01
1.204013377926420603e-01,-2.184312171541620273e-01,1.850441397803308519e-01
1.284280936454849087e-01,-1.534682967313116819e-01,2.669163508877758773e-01
1.364548494983277571e-01,-8.976751197123888915e-02,3.471225102327508694e-01
1.444816053511706055e-01,-2.732138936239181248e-02,4.256729265114458371e-01
1.525083612040134540e-01,3.387752029249213592e-02,5.025778714067854480e-01
1.605351170568560804e-01,9.383664162487548310e-02,5.778475790910917453e-01
1.685618729096989288e-01,1.525633744560082050e-01,6.514922457354757057e-01
1.765886287625417772e-01,2.100650935606296343e-01,7.235220290270518717e-01
1.846153846153846256e-01,2.663491484392750408e-01,7.939470476943242261e-01
1.926421404682274741e-01,3.214228631000395353e-01,8.627773810420293898e-01
2.006688963210702115e-01,3.752935358506448438e-01,9.300230684964745365e-01
2.086956521739130599e-01,4.279684391009865863e-01,9.956941091618460860e-01
2.167224080267557973e-01,4.794548191780663160e-01,1.059800461389180271e+00
2.247491638795986457e-01,5.297598961529814687e-01,1.122352042358379265e+00
2.327759197324414941e-01,5.788908636819272147e-01,1.183358727675098976e+00
2.408026755852842316e-01,6.268548888613949543e-01,1.242830350983311405e+00
2.488294314381270800e-01,6.736591120987256431e-01,1.300776703594493711e+00
2.568561872909698174e-01,7.193106469996095598e-01,1.357207534135774551e+00
2.648829431438126658e-01,7.638165802726817333e-01,1.412132548217051919e+00
2.729096989966555142e-01,8.071839716533091291e-01,1.465561408119782527e+00
2.809364548494983627e-01,8.494198538467472304e-01,1.517503732507961445e+00
2.889632107023411001e-01,8.905312324928758017e-01,1.567969096163615461e+00
2.969899665551838375e-01,9.305250861531320083e-01,1.616967029747740980e+00
3.050167224080266859e-01,9.694083663212822444e-01,1.664507019589152037e+00
3.130434782608695343e-01,1.007187997459503492e+00,1.710598507502723464e+00
3.210702341137123828e-01,1.043870877060861346e+00,1.755250890638677674e+00
3.290969899665552312e-01,1.079463875740273693e+00,1.798473521365309580e+00
3.371237458193979686e-01,1.113973837355182184e+00,1.840275707186933118e+00
3.451505016722407060e-01,1.147407579157565749e+00,1.880666710699571809e+00
3.531772575250835544e-01,1.179771891979534360e+00,1.919655749586382854e+00
3.612040133779264028e-01,1.211073540453888597e+00,1.957251996655628545e+00
3.692307692307692513e-01,1.241319263271485340e+00,1.993464579922886060e+00
