delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
4.897959183673469136e-02,-5.073645000000000238e-02
9.795918367346938271e-02,-1.014462000000000003e-01
1.469387755102040671e-01,-1.521329999999999905e-01
1.959183673469387654e-01,-2.028005999999999975e-01
2.448979591836734637e-01,-2.534527999999999781e-01
2.938775510204081343e-01,-3.040932000000000079e-01
3.428571428571428603e-01,-3.547255999999999743e-01
3.918367346938775309e-01,-4.053536999999999835e-01
4.408163265306122014e-01,-4.559810999999999725e-01
4.897959183673469274e-01,-5.066114999999999924e-01
5.387755102040816535e-01,-5.572485999999999828e-01
5.877551020408162685e-01,-6.078959000000000445e-01
6.367346938775509946e-01,-6.585571000000000064e-01
6.857142857142857206e-01,-7.092357999999999718e-01
7.346938775510203357e-01,-7.599354000000000386e-01
7.836734693877550617e-01,-8.106596000000000357e-01
8.326530612244897878e-01,-8.614117999999999498e-01
8.816326530612244028e-01,-9.121955000000000480e-01
9.306122448979591288e-01,-9.630140999999999840e-01
9.795918367346938549e-01,-1.013870999999999967e+00
1.028571428571428470e+00,-1.064769999999999994e+00
1.077551020408163307e+00,-1.115714000000000095e+00
1.126530612244897922e+00,-1.166706000000000021e+00
1.175510204081632537e+00,-1.217750000000000110e+00
1.224489795918367374e+00,-1.268848999999999894e+00
1.273469387755101989e+00,-1.320006999999999930e+00
1.322448979591836604e+00,-1.371226000000000056e+00
1.371428571428571441e+00,-1.422509000000000023e+00
1.420408163265306056e+00,-1.473861000000000088e+00
1.469387755102040671e+00,-1.525282999999999944e+00
1.518367346938775508e+00,-1.576778999999999931e+00
1.567346938775510123e+00,-1.628352999999999939e+00
1.616326530612244738e+00,-1.680006000000000110e+00
1.665306122448979576e+00,-1.731743000000000032e+00
1.714285714285714191e+00,-1.783565000000000067e+00
1.763265306122448806e+00,-1.835477000000000025e+00
1.812244897959183643e+00,-1.887480000000000047e+00
1.861224489795918258e+00,-1.939578000000000024e+00
1.910204081632652873e+00,-1.991773999999999933e+00
1.959183673469387710e+00,-2.044070000000000054e+00
2.008163265306122547e+00,-2.096468999999999916e+00
2.057142857142856940e+00,-2.148973999999999940e+00
2.106122448979591777e+00,-2.201586999999999961e+00
2.155102040816326614e+00,-2.254312000000000094e+00
2.204081632653061007e+00,-2.307150000000000034e+00
2.253061224489795844e+00,-2.360106000000000037e+00
2.302040816326530681e+00,-2.413180000000000103e+00
2.351020408163265074e+00,-2.466375999999999902e+00
2.399999999999999911e+00,-2.519696999999999854e+00
