delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
2.424242424242424240e-02,-4.056126089963128512e-01
4.848484848484848481e-02,-7.907171327454933785e-01
7.272727272727272374e-02,-1.155635088984699133e+00
9.696969696969696961e-02,-1.500687662229656993e+00
1.212121212121212155e-01,-1.826195847782178472e+00
1.454545454545454475e-01,-2.132480617000526379e+00
1.696969696969697072e-01,-2.419863105615401189e+00
1.939393939393939392e-01,-2.688664826187773027e+00
2.181818181818181712e-01,-2.939207907470151593e+00
2.424242424242424310e-01,-3.171815361378260256e+00
2.666666666666666630e-01,-3.386811380183414322e+00
2.909090909090908950e-01,-3.584521664890655046e+00
3.151515151515151270e-01,-3.765273786449148119e+00
3.393939393939394145e-01,-3.929397581396687933e+00
3.636363636363636465e-01,-4.077225582573437812e+00
3.878787878787878785e-01,-4.209093485000825474e+00
4.121212121212121104e-01,-4.325340648702890256e+00
4.363636363636363424e-01,-4.426310636195928794e+00
4.606060606060606299e-01,-4.512351784565067803e+00
4.848484848484848619e-01,-4.583817810636634071e+00
5.090909090909090384e-01,-4.641068445062522585e+00
5.333333333333333259e-01,-4.684470092852084377e+00
5.575757575757576134e-01,-4.714396514877950750e+00
5.818181818181817899e-01,-4.731229522850806113e+00
6.060606060606060774e-01,-4.735359682192584962e+00
6.303030303030302539e-01,-4.727187011051158905e+00
6.545454545454545414e-01,-4.707121666308651697e+00
6.787878787878788289e-01,-4.675584603199522959e+00
7.030303030303030054e-01,-4.633008194825754877e+00
7.272727272727272929e-01,-4.579836797396087178e+00
7.515151515151514694e-01,-4.516527242456579216e+00
7.757575757575757569e-01,-4.443549241856837639e+00
8.000000000000000444e-01,-4.361385685929039191e+00
8.242424242424242209e-01,-4.270532818864852587e+00
8.484848484848485084e-01,-4.171500274422793808e+00
8.727272727272726849e-01,-4.064810958005700137e+00
8.969696969696969724e-01,-3.951000760368383879e+00
9.212121212121212599e-01,-3.830618097343533535e+00
9.454545454545454364e-01,-3.704223264844360486e+00
9.696969696969697239e-01,-3.572387613280931795e+00
9.939393939393939004e-01,-3.435692540165534048e+00
1.018181818181818077e+00,-3.294728312004376214e+00
1.042424242424242475e+00,-3.150092730506695915e+00
1.066666666666666652e+00,-3.002389659285235268e+00
1.090909090909090828e+00,-2.852227437552092404e+00
1.115151515151515227e+00,-2.700217208446408890e+00
1.139393939393939403e+00,-2.546971190881547109e+00
1.163636363636363580e+00,-2.393100930532131798e+00
1.187878787878787978e+00,-2.239215562996291986e+00
1.212121212121212155e+00,-2.085920121193264976e+00
1.236363636363636331e+00,-1.933813920283929733e+00
1.260606060606060508e+00,-1.783489046744440643e+00
1.284848484848484906e+00,-1.635528980050754200e+00
1.309090909090909083e+00,-1.490507362692894411e+00
1.333333333333333259e+00,-1.348986938372489952e+00
1.357575757575757658e+00,-1.211518664835560699e+00
1.381818181818181834e+00,-1.078641009010290475e+00
1.406060606060606011e+00,-9.508794247593348459e-01
1.430303030303030409e+00,-8.287460054778055252e-01
1.454545454545454586e+00,-7.127393077665304943e-01
1.478787878787878762e+00,-6.033443332860999320e-01
1.503030303030302939e+00,-5.010326521989583171e-01
1.527272727272727337e+00,-4.062626593589913071e-01
1.551515151515151514e+00,-3.194799391131750710e-01
1.575757575757575690e+00,-2.411177279255136696e-01
1.600000000000000089e+00,-1.715974547521081917e-01
1.624242424242424265e+00,-1.113293444166982837e-01
1.648484848484848442e+00,-6.071306833225165178e-02
1.672727272727272618e+00,-2.013842819399780382e-02
1.696969696969697017e+00,1.001394056406645916e-02
1.721212121212121193e+00,2.937185290064459053e-02
1.745454545454545370e+00,3.757086367855588804e-02
1.769696969696969768e+00,3.425356212609109718e-02
1.793939393939393945e+00,1.906888477514012692e-02
1.818181818181818121e+00,-8.328550490285913099e-03
1.842424242424242520e+00,-4.827908468103547790e-02
1.866666666666666696e+00,-1.011186268331991656e-01
1.890909090909090873e+00,-1.671792318958775780e-01
1.915151515151515049e+00,-2.467896440215699982e-01
1.939393939393939448e+00,-3.402758045606093518e-01
1.963636363636363624e+00,-4.479613240723994139e-01
1.987878787878787801e+00,-5.701679221533346720e-01
2.012121212121212199e+00,-7.072158271016792952e-01
2.036363636363636154e+00,-8.594241459485116863e-01
2.060606060606060552e+00,-1.027111200658613832e+00
2.084848484848484951e+00,-1.210594829525665439e+00
2.109090909090908905e+00,-1.410192664203523627e+00
2.133333333333333304e+00,-1.626222371030838332e+00
2.157575757575757702e+00,-1.859001873618664646e+00
2.181818181818181657e+00,-2.108849539916151095e+00
2.206060606060606055e+00,-2.376084355675627258e+00
2.230303030303030454e+00,-2.661026068402389200e+00
2.254545454545454408e+00,-2.963995313574440793e+00
2.278787878787878807e+00,-3.285313721587419522e+00
2.303030303030303205e+00,-3.625304007044339194e+00
2.327272727272727160e+00,-3.984290041951640049e+00
2.351515151515151558e+00,-4.362596913671547227e+00
2.375757575757575957e+00,-4.760550969407732147e+00
2.399999999999999911e+00,-5.178479850641339866e+00
