delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
9.736842105263159020e-02,-1.610001379423675605e+00
1.947368421052631804e-01,-2.875777190522936344e+00
2.921052631578947567e-01,-3.820679727302838558e+00
3.894736842105263608e-01,-4.468642500353528391e+00
4.868421052631579649e-01,-4.844615255129234299e+00
5.842105263157895134e-01,-4.975115835578023393e+00
6.815789473684211730e-01,-4.888858368029772805e+00
7.789473684210527216e-01,-4.617357695655325500e+00
8.763157894736842701e-01,-4.195340095545411430e+00
9.736842105263159297e-01,-3.660745562465592684e+00
1.071052631578947478e+00,-3.054143143400057880e+00
1.168421052631579027e+00,-2.417536758585598022e+00
1.265789473684210575e+00,-1.792776118365516425e+00
1.363157894736842346e+00,-1.219974634017280124e+00
1.460526315789473895e+00,-7.363405889204592825e-01
1.557894736842105443e+00,-3.756422000386905324e-01
1.655263157894736992e+00,-1.682808980939221044e-01
1.752631578947368540e+00,-1.417820276299046611e-01
1.850000000000000089e+00,-3.214750328495998843e-01
