delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
8.275862068965517127e-02,-3.733433125401097036e-02
1.655172413793103425e-01,-7.474244562825416160e-02
2.482758620689655138e-01,-1.123288810952740163e-01
3.310344827586206851e-01,-1.501955845138684686e-01
4.137931034482758563e-01,-1.884408841857618533e-01
4.965517241379310276e-01,-2.271585694988510207e-01
5.793103448275862544e-01,-2.664371009786881683e-01
6.620689655172413701e-01,-3.063589667697905750e-01
7.448275862068964859e-01,-3.470001941527487421e-01
8.275862068965517127e-01,-3.884300175214430162e-01
9.103448275862069394e-01,-4.307106975492695500e-01
9.931034482758620552e-01,-4.738974811005862708e-01
1.075862068965517171e+00,-5.180386870693689527e-01
1.158620689655172509e+00,-5.631759283781538894e-01
1.241379310344827624e+00,-6.093442725701170293e-01
1.324137931034482740e+00,-6.565728071991276948e-01
1.406896551724137856e+00,-7.048848822544235837e-01
1.489655172413792972e+00,-7.542986021314733724e-01
1.572413793103448310e+00,-8.048272864874450594e-01
1.655172413793103425e+00,-8.564799379041370120e-01
1.737931034482758541e+00,-9.092617054427627465e-01
1.820689655172413879e+00,-9.631743354092177078e-01
1.903448275862068995e+00,-1.018216602470210841e+00
1.986206896551724110e+00,-1.074384716712578625e+00
2.068965517241379448e+00,-1.131672702976739053e+00
2.151724137931034342e+00,-1.190072751025724518e+00
2.234482758620689680e+00,-1.249575535515742075e+00
2.317241379310345017e+00,-1.310170505834076238e+00
2.399999999999999911e+00,-1.371846146876538164e+00
