["port 1","LEFT"]
["port 2","TOP"]
["port 3","RIGHT"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+014 5.2605404427746348e-003 1.6245789093610703e+000
1.8749519977416666e+014 5.4225809080324571e-003 1.7586029344147172e+000
1.8762011329833334e+014 5.5607883052589957e-003 1.8810419673565379e+000
1.8774502682250000e+014 5.6723604994358377e-003 1.9929618565625791e+000
1.8786994034666666e+014 5.7572989606113917e-003 2.0952947838867106e+000
1.8799485387083334e+014 5.8177370276801714e-003 2.1889141774260081e+000
1.8811976739500000e+014 5.8571658281334890e-003 2.2747128282317153e+000
1.8824468091916666e+014 5.8795807765620140e-003 2.3536621995560947e+000
1.8836959444333334e+014 5.8886100936607014e-003 2.4268358816886928e+000
1.8849450796750000e+014 5.8867245604214569e-003 2.4953862928210420e+000
1.8861942149166666e+014 5.8746477681651992e-003 2.5604735995046641e+000
1.8874433501583334e+014 5.8510740516343925e-003 2.6231580065657987e+000
1.8886924854000000e+014 5.8127544506151960e-003 2.6842761588552206e+000
1.8899416206416666e+014 5.7549438010052363e-003 2.7443243022194310e+000
1.8911907558833334e+014 5.6721400924559526e-003 2.8033637536541050e+000
1.8924398911250000e+014 5.5590133216693845e-003 2.8609518746906648e+000
1.8936890263666666e+014 5.4114232548956448e-003 2.9160904414083260e+000
1.8949381616083334e+014 5.2274559430022854e-003 2.9671785394424535e+000
1.8961872968500000e+014 5.0084507469318152e-003 3.0119628384975896e+000
1.8974364320916666e+014 4.7600226506198176e-003 3.0474998583611570e+000
1.8986855673333334e+014 4.4930793404477573e-003 3.0701947820584912e+000
1.8999347025750000e+014 4.2247305429208588e-003 3.0760783623498487e+000
1.9011838378166666e+014 3.9786807835443519e-003 3.0616236236335181e+000
1.9024329730583334e+014 3.7840980078252327e-003 3.0254449134506376e+000
1.9036821083000000e+014 3.6713871732480022e-003 2.9707086944045171e+000
1.9049312435416666e+014 3.6641652699154060e-003 2.9066405940694571e+000
1.9061803787833334e+014 3.7670553684167416e-003 2.8462481443339565e+000
1.9074295140250000e+014 3.9724634897885004e-003 2.8022326161280264e+000
1.9086786492666666e+014 4.2544246602712861e-003 2.7816723565423702e+000
1.9099277845083334e+014 4.5808315873757059e-003 2.7858337879761992e+000
1.9111769197500000e+014 4.9202877171885574e-003 2.8123034117658605e+000
1.9124260549916666e+014 5.2455061322191510e-003 2.8572277247813216e+000
